date,hour,number,title,link
2025-12-01,23:51,3/2025,Global Hydrogen SA - Powołanie osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/643259
2025-12-01,23:46,2/2025,Global Hydrogen SA - Odwołanie lub rezygnacja osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/643258
2025-12-01,22:41,1/2025,Global Hydrogen SA - Informacje o walnym zgromadzeniu - treść uchwał podjętych przez WZ (w tym informacje o ogłoszeniu przerwy w obradach),https://espiebi.pap.pl/node/643257
2025-12-01,21:00,1/2025,Plot Twist SA - Odwołanie lub rezygnacja osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/643256
2025-12-01,20:43,1/2025,"Cosma SA - Zawarcie, zmiana treści, wypowiedzenie, rozwiązanie lub wygaśnięcie umowy o wykonywanie zadań Autoryzowanego Doradcy",https://espiebi.pap.pl/node/643255
2025-12-01,20:29,1/2025,Brainscan SA - Odwołanie lub rezygnacja osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/643254
2025-12-01,18:20,3/2025,"BTCS SA - Rejestracja przez sąd zmiany statutu emitenta lub odmowie takiej rejestracji, z podaniem przyczyn odmowy",https://espiebi.pap.pl/node/643253
2025-12-01,17:13,1/2025,Diagnostyka SA - Informacja o stanie stosowania Dobrych Praktyk 2021,https://espiebi.pap.pl/node/643252
2025-12-01,17:02,2/2025,Milton Essex SA - Inne informacje,https://espiebi.pap.pl/node/643251
2025-12-01,16:31,2/2025,"BTCS SA - Rejestracja przez sąd zmiany statutu emitenta lub odmowie takiej rejestracji, z podaniem przyczyn odmowy",https://espiebi.pap.pl/node/643250
2025-12-01,10:40,2/2025,Telestrada SA - Inne informacje,https://espiebi.pap.pl/node/643249
2025-12-01,09:14,1/2025,"BTCS SA - Informacje o walnym zgromadzeniu - zwołanie WZ z projektami uchwał, zmiany w porządku obrad WZ",https://espiebi.pap.pl/node/643248
2025-12-01,08:29,2/2025,Milisystem SA - Powołanie osoby zarządzającej lub nadzorującej,https://espiebi.pap.pl/node/643247
